departureAirportFsCode;arrivalAirportFsCode;departureDate;wPrecio;wRetardo;wDuracion;idConnection;directo;departureAirportFsCode_v1;fSalida_v1;hSalida_v1;carrierFsCode_v1;flightNumber_v1;arrivalAirportFsCode_v1;fLlegada_v1;hLlegada_v1;codeshares_v1;temp_v1;humidity_v1;pressure_v1;weather_v1;windSpeed_v1;windDeg_v1;departureAirportFsCode_v2;fSalida_v2;hSalida_v2;carrierFsCode_v2;flightNumber_v2;arrivalAirportFsCode_v2;fLlegada_v2;hLlegada_v2;codeshares_v2;temp_v2;humidity_v2;pressure_v2;weather_v2;windSpeed_v2;windDeg_v2;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_176;false;AUH;2019-10-31;02:15;UX;2736;BCN;2019-10-31;06:50;[(EY-null)];null;null;null;null;null;null;BCN;2019-10-31;15:45;VY;null;AMS;2019-10-31;18:15;[(IB-5304)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_176;false;AUH;2019-10-31;02:15;EY;null;BCN;2019-10-31;06:50;[(UX-2736)];null;null;null;null;null;null;BCN;2019-10-31;15:45;VY;null;AMS;2019-10-31;18:15;[(IB-5304)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_177;false;AUH;2019-10-31;02:15;EY;49;BCN;2019-10-31;06:50;[];null;null;null;null;null;null;BCN;2019-10-31;15:45;IB;5304;AMS;2019-10-31;18:15;[(VY-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_177;false;AUH;2019-10-31;02:15;EY;49;BCN;2019-10-31;06:50;[];null;null;null;null;null;null;BCN;2019-10-31;15:45;VY;null;AMS;2019-10-31;18:15;[(IB-5304)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_178;false;AUH;2019-10-31;02:35;EY;15;MAN;2019-10-31;06:40;[];null;null;null;null;null;null;MAN;2019-10-31;14:35;EY;6105;AMS;2019-10-31;17:00;[(BE-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_178;false;AUH;2019-10-31;02:35;EY;15;MAN;2019-10-31;06:40;[];null;null;null;null;null;null;MAN;2019-10-31;14:35;BE;null;AMS;2019-10-31;17:00;[(EY-6105)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_180;false;AUH;2019-10-31;02:05;BA;72;LHR;2019-10-31;06:15;[];null;null;null;null;null;null;LHR;2019-10-31;17:05;WA;1022;AMS;2019-10-31;19:25;[(KL-1022)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_180;false;AUH;2019-10-31;02:05;BA;72;LHR;2019-10-31;06:15;[];null;null;null;null;null;null;LHR;2019-10-31;17:05;KL;1022;AMS;2019-10-31;19:25;[(WA-1022)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_182;false;AUH;2019-10-31;02:45;AT;9283;CMN;2019-10-31;08:30;[(EY-null)];null;null;null;null;null;null;CMN;2019-10-31;12:30;AT;850;AMS;2019-10-31;16:05;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_182;false;AUH;2019-10-31;02:45;EY;null;CMN;2019-10-31;08:30;[(AT-9283)];null;null;null;null;null;null;CMN;2019-10-31;12:30;AT;850;AMS;2019-10-31;16:05;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_183;false;AUH;2019-10-31;02:40;LH;9661;MUC;2019-10-31;06:15;[(EY-null)];null;null;null;null;null;null;MUC;2019-10-31;17:35;CL;2308;AMS;2019-10-31;19:10;[(LH-2308)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_183;false;AUH;2019-10-31;02:40;EY;null;MUC;2019-10-31;06:15;[(LH-9661)];null;null;null;null;null;null;MUC;2019-10-31;17:35;CL;2308;AMS;2019-10-31;19:10;[(LH-2308)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_183;false;AUH;2019-10-31;02:40;LH;9661;MUC;2019-10-31;06:15;[(EY-null)];null;null;null;null;null;null;MUC;2019-10-31;17:35;LH;2308;AMS;2019-10-31;19:10;[(CL-2308)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_183;false;AUH;2019-10-31;02:40;EY;null;MUC;2019-10-31;06:15;[(LH-9661)];null;null;null;null;null;null;MUC;2019-10-31;17:35;LH;2308;AMS;2019-10-31;19:10;[(CL-2308)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_184;false;AUH;2019-10-31;02:40;EY;11;LHR;2019-10-31;06:45;[];null;null;null;null;null;null;LHR;2019-10-31;16:25;WA;1018;AMS;2019-10-31;18:40;[(KL-1018)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_184;false;AUH;2019-10-31;02:40;EY;11;LHR;2019-10-31;06:45;[];null;null;null;null;null;null;LHR;2019-10-31;16:25;KL;1018;AMS;2019-10-31;18:40;[(WA-1018)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_185;false;AUH;2019-10-31;02:05;BA;72;LHR;2019-10-31;06:15;[];null;null;null;null;null;null;LHR;2019-10-31;17:45;BA;442;AMS;2019-10-31;20:10;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_186;false;AUH;2019-10-31;02:40;EY;11;LHR;2019-10-31;06:45;[];null;null;null;null;null;null;LHR;2019-10-31;15:45;KL;1020;AMS;2019-10-31;18:00;[];null;null;null;null;null;null;
